# Feed TDS,Temperature,TDS mg/L,Enthalpy
3.361113e-02,2.981500e+02,3.434253e+04,-9.994438e+04
3.361113e-02,3.081500e+02,3.422067e+04,-1.401512e+05
3.361113e-02,3.181500e+02,3.406846e+04,-1.804824e+05
3.361113e-02,3.281500e+02,3.391105e+04,-2.208722e+05
3.361113e-02,3.381500e+02,3.373550e+04,-2.613617e+05
3.361113e-02,3.481500e+02,3.354323e+04,-3.019755e+05
3.361113e-02,3.581500e+02,3.333540e+04,-3.427536e+05
3.361113e-02,3.681500e+02,3.311287e+04,-3.837494e+05
4.838276e-02,2.981500e+02,4.990533e+04,-9.811503e+04
4.838276e-02,3.081500e+02,4.973102e+04,-1.376869e+05
4.838276e-02,3.181500e+02,4.952730e+04,-1.773576e+05
4.838276e-02,3.281500e+02,4.929693e+04,-2.171076e+05
4.838276e-02,3.381500e+02,4.904214e+04,-2.569364e+05
4.838276e-02,3.481500e+02,4.876471e+04,-2.968615e+05
4.838276e-02,3.581500e+02,4.846609e+04,-3.369161e+05
4.838276e-02,3.681500e+02,4.814739e+04,-3.771471e+05
9.373868e-02,2.981500e+02,9.959182e+04,-9.286222e+04
9.373868e-02,3.081500e+02,9.919995e+04,-1.306479e+05
9.373868e-02,3.181500e+02,9.876830e+04,-1.685434e+05
9.373868e-02,3.281500e+02,9.829778e+04,-2.064897e+05
9.373868e-02,3.381500e+02,9.778994e+04,-2.444611e+05
9.373868e-02,3.481500e+02,9.724646e+04,-2.824561e+05
9.373868e-02,3.581500e+02,9.666894e+04,-3.204902e+05
9.373868e-02,3.681500e+02,9.605884e+04,-3.585925e+05
1.366460e-01,2.981500e+02,1.490274e+05,-8.848898e+04
1.366460e-01,3.081500e+02,1.483791e+05,-1.247741e+05
1.366460e-01,3.181500e+02,1.476967e+05,-1.611785e+05
1.366460e-01,3.281500e+02,1.469751e+05,-1.976120e+05
1.366460e-01,3.381500e+02,1.462128e+05,-2.340296e+05
1.366460e-01,3.481500e+02,1.454096e+05,-2.704146e+05
1.366460e-01,3.581500e+02,1.445664e+05,-3.067685e+05
1.366460e-01,3.681500e+02,1.436842e+05,-3.431060e+05
1.775197e-01,2.981500e+02,1.981933e+05,-8.478294e+04
1.775197e-01,3.081500e+02,1.972542e+05,-1.197841e+05
1.775197e-01,3.181500e+02,1.963003e+05,-1.549110e+05
1.775197e-01,3.281500e+02,1.953173e+05,-1.900489e+05
1.775197e-01,3.381500e+02,1.942981e+05,-2.251373e+05
1.775197e-01,3.481500e+02,1.932396e+05,-2.601471e+05
1.775197e-01,3.581500e+02,1.921407e+05,-2.950685e+05
1.775197e-01,3.681500e+02,1.910016e+05,-3.299041e+05
